Name,Linf,Winf,K,Temp
Abramis_brama,54.6,1627.71336,0.1142,10
Accipenser_stellatus,212,95281.28,0.05396,13.5
Ammodytes marinus,18.5,63.31625,0.36,7
Ammodytes tobianus,16,40.96,0.77,11
Ammodytes_tobianus,14.09,27.97260929,0.7305,11.5
Anchoa mitchilli,13.8,26.28072,0.21,17
Arnoglossus_laterna,9.355,8.18712413875,0.4544,11
Atherina_presbyter,12.4,19.06624,1.091,11.5
Balistes vetula,45,911.25,0.57,27
Barbus_grypus,103.6,11119.34656,0.1265,23.5
Benthosema glaciale,8.6,6.36056,0.36,7
Beryx splendes,45,911.25,0.15,18
Blennius_pholis,15.05,34.08862625,0.2464,11.5
Brevoortia patronus,25.3,161.94277,0.48,26
Brevoortia tyrrannus,40,640,0.39,10
Cephalopholis fulva,34,393.04,0.63,27
Cetengraulis mysticetus,15,33.75,1.88,24
Cheilodactylus macropterus,44.6,887.16536,0.22,14
Cheilodactylus macropterus,44.7,893.14623,0.17,14
Cheilodactylus macropterus,47.7,1085.31333,0.28,14
Clupea harengus,29.5,256.72375,0.39,12
Clupea harengus,30,270,0.38,11
Clupea harengus,30.4,280.94464,0.28,12
Clupea harengus,36,466.56,0.21,8
Clupea pallasii,27,196.83,0.48,10
Clupea pallasii,35,428.75,0.25,5
Clupea pallassii,22,106.48,0.8,12
Clupea pallassii,27,196.83,0.48,10
Clupea_sprattus,15.7,38.69893,0.5847,10.5
Cololabis saira,34.2,400.01688,0.41,12
Coregonus_lavaretus,39.73,627.12728317,0.3295,10
Coris julis,27.2,201.23648,0.11,17
Coryphoblennius_galerita,6.955,3.36427433875,0.4011,11.5
Diplodus annularis,20.4,84.89664,0.54,17
Diplodus sargus,41.7,725.11713,0.25,17
Ellerkeldia_huntii,15.21,35.18743761,0.335,17
Engraulis anchoita,17.3,51.77717,0.71,16
Engraulis japonicus,15.5,37.23875,0.6,11.5
Eopsetta jordani (female),58.6,2012.30056,0.17,9
Eopsetta jordani (male),49,1176.49,0.16,9
Epinephelus guttatus,52,1406.08,0.24,27
Esox_lusius,70.36,3483.19262656,0.4016,10
Esox_lusius,94.87,8538.60064303,0.2101,10
Esoxmasquinongy_2091,84.8,6098.00192,0.0263,10
Gadus morhua,65,2746.25,0.3,1
Gadus morhua,68.6,3228.28856,0.17,4
Gadus morhua,100.3,10090.27027,0.15,4
Gadus morhua,115,15208.75,0.1,6
Gadus morhua,129,21466.89,0.13,2.5
Gadus morhua,132,22999.68,0.2,8
Gadus morhua,134,24061.04,0.1,8
Gadus_aeglefinus,10.65,12.07949625,0.2,10.5
Gadus_merlangus,77.28,4615.31492352,0.08626,10
Gadus_merlangus,89.86,7256.03289256,0.08626,10
Gadus_morhua,108.9,12914.67969,0.1308,10
Gambusia_holbrookii,6.172,2.35113600448,0.9366,15
Gasterosteus_aculeatus,5.241,1.43960212521,1.019,10.5
Glaucosoma buergeri,51.5,1365.90875,0.14,26.9
Gobio_gobio,17.48,53.41020992,0.4165,10.5
Gobius_cobitis,21.39,97.86611619,0.2082,11.5
Gobius_paganellus,7.989,5.09890902669,0.479,10.5
Hippocampus guttulatus,19.8,77.62392,0.57,18
Hippoglossoides platessoides,42.6,773.08776,0.1,0
Hippoglossoides platessoides,50,1250,0.09,-0.8
Hippoglossoides platessoides,55.2,1681.96608,0.11,-0.5
Hippoglossoides platessoides,58.5,2002.01625,0.15,1.5
Hippoglossoides platessoides,59,2053.79,0.08,0
Hippoglossoides platessoides,60,2160,0.07,-0.8
Hippoglossoides platessoides,72.5,3810.78125,0.11,1.5
Hippoglossoides platessoides,81.1,5334.11731,0.06,-0.5
Hippoglossus stenolepis,215,99383.75,0.05,5
Hyporhamphus melanochir,36.7,494.30863,0.51,20
Hyporhamphus melanochir,38.7,579.60603,0.54,20
Katsuwonus pelamis,65.1,2758.94451,1.3,25
Labrus_bergylta,50.92,1320.27738688,0.0717,10.5
Lepomis_gibbosus,6.186,2.36717162856,0.1415,10
Lepomis_macrochirus,7.162,3.67369375528,0.1292,10
Lesueurigobius_friesii,6.372,2.58718390848,0.6826,11
Lesueurigobius_friesii,6.582,2.85150169368,0.5628,10
Lethrinus miniatus,45.3,929.59677,0.48,26
Lethrinus miniatus,46.3,992.52847,0.38,26
Lethrinus miniatus,47.2,1051.54048,0.48,26
Leuciscus_leuciscus,25.26,161.17587576,0.3329,10
Liza_vaigiensis,74.63,4156.62001847,0.1758,22.5
Lopholatilus chamaeleontoceps,86.5,6472.14625,0.09,10
Lopholatilus chamaeleontoceps,92.2,7837.77448,0.09,10
Lota_lota,100.9,10272.43729,0.09768,10
Lutjanus adetii,25.4,163.87064,0.32,25.7
Lutjanus carponotatus,31.3,306.64297,0.45,25.7
Lutjanus erythropterus,58.5,2002.01625,0.38,25.7
Lutjanus malabaricus,62.2,2406.41848,0.23,26.9
Lutjanus malabaricus,72.8,3858.28352,0.29,25.7
Lutjanus quinquilineatus,20.7,88.69743,0.31,25.7
Lutjanus ruselli,38.6,575.12456,0.35,26.9
Lutjanus sebae,79.2,4967.93088,0.14,25.7
Lutjanus vitta,24.5,147.06125,0.85,25.7
Melanogrammus aeglefinus,68,3144.32,0.2,8
Merluccius angustimanus,32.7,349.65783,0.35,20
Merluccius_merluccius,126.5,20242.84625,0.2075,10
Mugil_cephalus,59.5,2106.44875,0.335,22.5
Nemipterus japonicus,30.5,283.72625,1,27
Nemipterus marginatus,24.5,147.06125,0.42,28
Nemipterus_marginatus,23.28,126.16791552,0.5047,28
Oncorhynchus_tschawytscha,15.52,37.38308608,0.9546,13.5
Pagrus auratus,107.9,12562.16039,0.07,24
Perca_jluviatilis,31.79,321.27104339,0.1615,11
Pleuronectes platessa,45,911.25,0.15,7
Pleuronectes platessa,68,3144.32,0.13,12
Pleuronectes platessa,70,3430,0.08,7
Pleuronectes_platessa,14.21,28.69341461,0.095,10.5
Pneumatophorus japonicus,43.6,828.81856,0.24,15
Poecilia_reticulata,5.058,1.29400655112,1.667,21
Pomatoschistus minutus,9.3,8.04357,0.93,10
Pomatoschistus_norvegicus,4.88,1.16214272,2.466,11
Pseudotolithus elongatus,46.7,1018.47563,0.26,26
Pygosteus_pungitius,4.128,0.70342705152,1.777,10.5
Rastrelliger neglectus,20.9,91.29329,3.38,28
Rhizoprionodon taylori,65.2,2771.67808,1.34,25
Rhizoprionodon taylori,73.2,3922.23168,1.01,25
Rutilus_rutilus,44.16,861.16663296,0.1661,10
Salmo_trutta,42.02,741.93890408,0.4157,10
Salmo_trutta,57.62,1913.02110728,0.2921,8.9
Salmo_trutta,58.58,2010.24088712,0.4769,10.5
Salvelinus_willughbii,32.89,355.78826569,0.3545,10
Salvelinus_willughbii,38.54,572.44679864,0.2495,10
Sardinella longiceps,20.7,88.69743,0.53,27
Sardinops caerulea,29.3,251.53757,0.45,15
Sardinops sagax,17,49.13,0.7,15
Sardinops sagax,30.5,283.72625,0.4,15
Scophthalmus_maximus,49.53,1215.08031177,0.3247,8.5
Scophthalmus_maximus,66.94,2999.55703384,0.2165,8.5
Sebastes alutus,42.6,773.08776,0.13,8
Sebastes brevispinis,56.8,1832.50432,0.09,8
Sebastes crameri,38.3,561.81887,0.09,8
Sebastes elongatus,30.1,272.70901,0.11,12
Sebastes elongatus,37.5,527.34375,0.08,12
Sebastes emphaeus,17.1,50.00211,0.54,12
Sebastes flavidus,48.6,1147.91256,0.19,8
Sebastes pinniger,52.8,1471.97952,0.14,8
Sebastes pinniger,62.1,2394.83061,0.1,8
Sebastes prioriger,39.3,606.98457,0.17,8
Sebastes reedi,44.5,881.21125,0.13,8
Sebastes zacentrus,34.9,425.08549,0.1,8
Seriola_dorsalis,137.3,25882.82117,0.1155,17.5
Serranus cabrilla,23.8,134.81272,0.3,17
Solea_vulgaris,7.841,4.82074724321,0.42,10.5
Sparisoma viride,28.1,221.88041,0.6,27.5
Symphodus roissali,16.5,44.92125,0.35,17
Thunnus alalunga,124.7,19390.96223,0.23,25
Thunnus albacares,166.4,46074.42944,0.25,25
Thunnus albacares,181.7,59988.05513,0.25,25
Thunnus maccoyii,186.9,65287.17909,0.14,26
Thunnus obesus,181.7,59988.05513,0.25,25
Thunnus_albacares,274.5,206836.43625,0.1481,28
Thunnus_thynnus,368.9,502025.71769,0.06623,10.5
Thymallus_thymallus,45.96,970.82300736,0.4656,10
Tilapia_species,12.96,21.76782336,3.542,37
Trachurus declivis,51.1,1334.32831,0.25,12
Trachurus novaezelandiae,38.5,570.66625,0.23,12
Trisopterus esmarkii,19,68.59,0.44,9
Trisopterus esmarkii,19.3,71.89057,0.59,9
Trisopterus esmarkii,21.5,99.38375,0.45,8.5
Trisopterus esmarkii,21.6,100.77696,0.53,9
Trisopterus esmarkii,26.4,183.99744,0.61,9
Valamugil_seheli,63.53,2564.10948977,0.2725,22.5